time,1,2,3,4,5,6
2010-02-01 00:00:00,0.54,0.54,0.53,0.53,0.52,0.52
2010-02-01 01:00:00,0.38,0.38,0.37,0.36,0.36,0.36
2010-02-01 02:00:00,0.21,0.21,0.2,0.2,0.19,0.19
2010-02-01 03:00:00,0.09,0.09,0.09,0.09,0.08,0.08
2010-02-01 04:00:00,0.06,0.07,0.07,0.07,0.07,0.07
2010-02-01 05:00:00,0.14,0.15,0.16,0.16,0.16,0.16
2010-02-01 06:00:00,0.29,0.3,0.3,0.32,0.32,0.32
2010-02-01 07:00:00,0.46,0.46,0.48,0.48,0.49,0.5
2010-02-01 08:00:00,0.59,0.6,0.61,0.61,0.62,0.62
2010-02-01 09:00:00,0.65,0.64,0.64,0.64,0.64,0.64
2010-02-01 10:00:00,0.58,0.56,0.56,0.56,0.56,0.56
2010-02-01 11:00:00,0.39,0.39,0.38,0.38,0.38,0.37
2010-02-01 12:00:00,0.16,0.14,0.13,0.13,0.12,0.12
2010-02-01 13:00:00,-0.13,-0.14,-0.15,-0.16,-0.17,-0.17
2010-02-01 14:00:00,-0.4,-0.4,-0.41,-0.41,-0.42,-0.42
2010-02-01 15:00:00,-0.57,-0.58,-0.58,-0.59,-0.59,-0.59
2010-02-01 16:00:00,-0.64,-0.63,-0.63,-0.63,-0.63,-0.63
2010-02-01 17:00:00,-0.56,-0.54,-0.53,-0.52,-0.52,-0.52
2010-02-01 18:00:00,-0.34,-0.32,-0.3,-0.3,-0.29,-0.28
2010-02-01 19:00:00,-0.05,-0.02,-0.01,0.0,0.01,0.02
2010-02-01 20:00:00,0.24,0.26,0.27,0.28,0.29,0.3
2010-02-01 21:00:00,0.47,0.48,0.49,0.5,0.51,0.51
2010-02-01 22:00:00,0.61,0.61,0.62,0.62,0.63,0.63
2010-02-01 23:00:00,0.64,0.63,0.62,0.62,0.62,0.62
2010-02-02 00:00:00,0.55,0.54,0.54,0.54,0.53,0.53
2010-02-02 01:00:00,0.38,0.38,0.36,0.36,0.36,0.35
2010-02-02 02:00:00,0.19,0.18,0.17,0.17,0.16,0.16
2010-02-02 03:00:00,0.0,0.0,-0.01,-0.01,-0.02,-0.02
2010-02-02 04:00:00,-0.11,-0.1,-0.11,-0.11,-0.11,-0.12
2010-02-02 05:00:00,-0.12,-0.11,-0.1,-0.1,-0.1,-0.11
2010-02-02 06:00:00,-0.02,-0.01,0.0,0.01,0.01,0.02
2010-02-02 07:00:00,0.16,0.16,0.18,0.18,0.19,0.19
2010-02-02 08:00:00,0.32,0.32,0.34,0.34,0.35,0.35
2010-02-02 09:00:00,0.43,0.43,0.44,0.44,0.44,0.45
2010-02-02 10:00:00,0.44,0.43,0.43,0.43,0.43,0.43
2010-02-02 11:00:00,0.32,0.31,0.31,0.3,0.3,0.3
2010-02-02 12:00:00,0.12,0.11,0.1,0.1,0.1,0.09
2010-02-02 13:00:00,-0.13,-0.14,-0.15,-0.16,-0.16,-0.17
2010-02-02 14:00:00,-0.4,-0.41,-0.42,-0.42,-0.43,-0.44
2010-02-02 15:00:00,-0.61,-0.61,-0.62,-0.62,-0.63,-0.63
2010-02-02 16:00:00,-0.71,-0.7,-0.7,-0.7,-0.71,-0.71
2010-02-02 17:00:00,-0.67,-0.66,-0.65,-0.65,-0.65,-0.65
2010-02-02 18:00:00,-0.5,-0.48,-0.46,-0.46,-0.45,-0.45
2010-02-02 19:00:00,-0.22,-0.2,-0.18,-0.17,-0.16,-0.16
2010-02-02 20:00:00,0.08,0.1,0.12,0.13,0.14,0.15
2010-02-02 21:00:00,0.37,0.38,0.38,0.4,0.4,0.41
2010-02-02 22:00:00,0.55,0.55,0.56,0.56,0.57,0.57
2010-02-02 23:00:00,0.61,0.61,0.61,0.61,0.62,0.62
2010-02-03 00:00:00,0.57,0.56,0.56,0.56,0.56,0.56
2010-02-03 01:00:00,0.43,0.42,0.42,0.41,0.41,0.4
2010-02-03 02:00:00,0.24,0.23,0.22,0.22,0.22,0.21
2010-02-03 03:00:00,0.05,0.04,0.03,0.03,0.03,0.02
2010-02-03 04:00:00,-0.1,-0.09,-0.1,-0.1,-0.1,-0.1
2010-02-03 05:00:00,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14
2010-02-03 06:00:00,-0.11,-0.1,-0.1,-0.09,-0.09,-0.08
2010-02-03 07:00:00,0.02,0.02,0.04,0.04,0.04,0.05
2010-02-03 08:00:00,0.16,0.16,0.17,0.18,0.18,0.19
2010-02-03 09:00:00,0.26,0.26,0.27,0.28,0.28,0.29
2010-02-03 10:00:00,0.31,0.3,0.3,0.3,0.3,0.31
2010-02-03 11:00:00,0.25,0.24,0.24,0.24,0.24,0.24
2010-02-03 12:00:00,0.11,0.11,0.1,0.1,0.1,0.1
2010-02-03 13:00:00,-0.06,-0.06,-0.08,-0.08,-0.08,-0.08
2010-02-03 14:00:00,-0.24,-0.25,-0.26,-0.26,-0.27,-0.27
2010-02-03 15:00:00,-0.41,-0.42,-0.42,-0.42,-0.43,-0.43
2010-02-03 16:00:00,-0.51,-0.51,-0.51,-0.52,-0.52,-0.52
2010-02-03 17:00:00,-0.51,-0.5,-0.5,-0.5,-0.5,-0.5
2010-02-03 18:00:00,-0.4,-0.38,-0.38,-0.37,-0.37,-0.37
2010-02-03 19:00:00,-0.19,-0.18,-0.17,-0.16,-0.16,-0.15
2010-02-03 20:00:00,0.04,0.05,0.06,0.07,0.08,0.08
2010-02-03 21:00:00,0.26,0.26,0.27,0.28,0.29,0.3
2010-02-03 22:00:00,0.43,0.43,0.44,0.44,0.44,0.45
2010-02-03 23:00:00,0.51,0.51,0.51,0.51,0.51,0.51
2010-02-04 00:00:00,0.49,0.49,0.49,0.49,0.49,0.49
2010-02-04 01:00:00,0.41,0.41,0.41,0.41,0.41,0.41
2010-02-04 02:00:00,0.29,0.28,0.27,0.26,0.26,0.26
2010-02-04 03:00:00,0.11,0.1,0.09,0.08,0.08,0.08
2010-02-04 04:00:00,-0.06,-0.07,-0.08,-0.08,-0.08,-0.09
2010-02-04 05:00:00,-0.18,-0.18,-0.18,-0.18,-0.19,-0.19
2010-02-04 06:00:00,-0.22,-0.22,-0.23,-0.22,-0.22,-0.23
2010-02-04 07:00:00,-0.2,-0.19,-0.19,-0.19,-0.19,-0.19
2010-02-04 08:00:00,-0.13,-0.12,-0.12,-0.12,-0.12,-0.11
2010-02-04 09:00:00,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04
2010-02-04 10:00:00,0.01,0.0,0.0,0.0,0.01,0.01
2010-02-04 11:00:00,0.01,0.0,0.0,-0.0,-0.0,-0.0
2010-02-04 12:00:00,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07
2010-02-04 13:00:00,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16
2010-02-04 14:00:00,-0.26,-0.26,-0.27,-0.27,-0.28,-0.28
2010-02-04 15:00:00,-0.37,-0.38,-0.38,-0.38,-0.38,-0.38
2010-02-04 16:00:00,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44
2010-02-04 17:00:00,-0.44,-0.44,-0.43,-0.43,-0.44,-0.44
2010-02-04 18:00:00,-0.37,-0.36,-0.36,-0.35,-0.35,-0.35
2010-02-04 19:00:00,-0.23,-0.22,-0.21,-0.21,-0.2,-0.2
2010-02-04 20:00:00,-0.05,-0.04,-0.03,-0.02,-0.02,-0.01
2010-02-04 21:00:00,0.14,0.15,0.15,0.16,0.16,0.17
2010-02-04 22:00:00,0.3,0.3,0.31,0.31,0.32,0.32
2010-02-04 23:00:00,0.4,0.4,0.4,0.4,0.4,0.41
2010-02-05 00:00:00,0.43,0.42,0.42,0.43,0.43,0.43
2010-02-05 01:00:00,0.39,0.39,0.38,0.38,0.38,0.38
2010-02-05 02:00:00,0.31,0.3,0.3,0.29,0.29,0.29
2010-02-05 03:00:00,0.18,0.17,0.16,0.16,0.16,0.16
2010-02-05 04:00:00,0.03,0.03,0.03,0.02,0.02,0.02
2010-02-05 05:00:00,-0.08,-0.08,-0.09,-0.09,-0.09,-0.1
2010-02-05 06:00:00,-0.16,-0.17,-0.17,-0.17,-0.18,-0.18
2010-02-05 07:00:00,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
2010-02-05 08:00:00,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
2010-02-05 09:00:00,-0.15,-0.15,-0.15,-0.15,-0.14,-0.14
2010-02-05 10:00:00,-0.1,-0.1,-0.09,-0.09,-0.08,-0.08
2010-02-05 11:00:00,-0.04,-0.04,-0.03,-0.03,-0.03,-0.03
2010-02-05 12:00:00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2010-02-05 13:00:00,0.0,-0.0,0.0,0.0,0.0,0.0
2010-02-05 14:00:00,0.01,0.01,0.0,0.0,-0.0,-0.0
2010-02-05 15:00:00,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02
